,Sentence #,Word,Tag
0,Sentence 1,114,principal_street
1,,/,rw
2,,5TA,first_side_street
3,,calzada,rw
4,,y,rw
5,,calle,rw
6,,QUINTA,second_side_street
7,,B,second_side_street
8,," , ",rw
9,,rpt,rw
10,,PLAYAS,locality
11,,DE,locality
12,,MIRAMAR,locality
13,," , ",rw
14,,PLAYA,municipality
15,," , ",rw
16,,CIUDAD,province
17,,DE,province
18,,LA,province
19,,HABANA,province
20,Sentence 2,ctra,rw
21,,114,principal_street
22,,A,building
23,,apto.,rw
24,,17,apartment
25,,e/c,rw
26,,5TA,first_side_street
27,,y,rw
28,,5TA,second_side_street
29,,B,second_side_street
30,," , ",rw
31,,PLAYAS,locality
32,,DE,locality
33,,MIRAMAR,locality
34,,PLAYA,municipality
35,," , ",rw
36,,CIUDAD,province
37,,DE,province
38,,LA,province
39,,HABANA,province
40,Sentence 3,114,principal_street
41,,e/c,rw
42,,31,first_side_street
43,,y,rw
44,,33,second_side_street
45,," , ",rw
46,,MACHIN,locality
47,," , ",rw
48,,MARIANAO,municipality
49,," , ",rw
50,,CIUDAD,province
51,,DE,province
52,,LA,province
53,,HABANA,province
54,Sentence 4,calle,rw
55,,114,principal_street
56,,entre,rw
57,,31,first_side_street
58,,y,rw
59,,29,second_side_street
60,,MACHIN,locality
61,," , ",rw
62,,MARIANAO,municipality
63,," , ",rw
64,,CIUDAD,province
65,,DE,province
66,,LA,province
67,,HABANA,province
68,Sentence 5,Ctra,rw
69,,114,principal_street
70,,\,rw
71,,Carr,rw
72,,33,first_side_street
73,,y,rw
74,,Carr.,rw
75,,35,second_side_street
76,,Edifi,rw
77,,19A284,building
78,,MACHIN,locality
79,,MARIANAO,municipality
80,," , ",rw
81,,CIUDAD,province
82,,DE,province
83,,LA,province
84,,HABANA,province
85,Sentence 6,carretera,rw
86,,114,principal_street
87,,ent.,rw
88,,35,first_side_street
89,,y,rw
90,,calle,rw
91,,37,second_side_street
92,," , ",rw
93,,LOS,locality
94,,QUEMADOS,locality
95,," , ",rw
96,,MARIANAO,municipality
97,," , ",rw
98,,CIUDAD,province
99,,DE,province
100,,LA,province
101,,HABANA,province
102,Sentence 7,114,principal_street
103,,/,rw
104,,37,first_side_street
105,,y,rw
106,,calz,rw
107,,39,second_side_street
108,," , ",rw
109,,LOS,locality
110,,QUEMADOS,locality
111,,MARIANAO,municipality
112,," , ",rw
113,,CIUDAD,province
114,,DE,province
115,,LA,province
116,,HABANA,province
117,Sentence 8,114,principal_street
118,,edf.,rw
119,,48466,building
120,,apto,rw
121,,42,apartment
122,,entre,rw
123,,43,first_side_street
124,,y,rw
125,,45,second_side_street
126,," , ",rw
127,,LOS,locality
128,,QUEMADOS,locality
129,,MARIANAO,municipality
130,," , ",rw
131,,CIUDAD,province
132,,DE,province
133,,LA,province
134,,HABANA,province
135,Sentence 9,114,principal_street
136,,entre,rw
137,,calle,rw
138,,45,first_side_street
139,,y,rw
140,,47,second_side_street
141,,reparto,rw
142,,LOS,locality
143,,QUEMADOS,locality
144,," , ",rw
145,,mun.,rw
146,,MARIANAO,municipality
147,," , ",rw
148,,CIUDAD,province
149,,DE,province
150,,LA,province
151,,HABANA,province
152,Sentence 10,calz,rw
153,,114,principal_street
154,,e/,rw
155,,pasaje,rw
